Away, Away_Score, Home, Home_Score
Orlando Magic, 96, Atlanta Hawks, 112
Brooklyn Nets, 134, New Orleans Pelicans, 129
Charlotte Hornets, 97, New York Knicks, 109
Los Angeles Clippers, 113, Portland Trail Blazers, 112
Minnesota Timberwolves, 134, Sacramento Kings, 120
Chicago Bulls, 105, Cleveland Cavaliers, 121
Oklahoma City Thunder, 116, Indiana Pacers, 122
Phoenix Suns, 116, Philadelphia 76ers, 113
Brooklyn Nets, 103, Toronto Raptors, 114
Golden State Warriors, 114, Washington Wizards, 118
Utah Jazz, 112, Houston Rockets, 89
Atlanta Hawks, 127, New York Knicks, 137
Detroit Pistons, 117, Dallas Mavericks, 127
Miami Heat, 107, San Antonio Spurs, 87
Memphis Grizzlies, 105, Los Angeles Clippers, 117
Denver Nuggets, 106, Portland Trail Blazers, 105
Minnesota Timberwolves, 125, Sacramento Kings, 128
Phoenix Suns, 86, Boston Celtics, 99
Philadelphia 76ers, 117, Milwaukee Bucks, 124
New Orleans Pelicans, 135, Orlando Magic, 100
Detroit Pistons, 91, San Antonio Spurs, 106
Charlotte Hornets, 91, Chicago Bulls, 108
Los Angeles Lakers, 110, Dallas Mavericks, 115
Miami Heat, 103, Atlanta Hawks, 118
Boston Celtics, 104, Brooklyn Nets, 109
Cleveland Cavaliers, 102, Charlotte Hornets, 108
Los Angeles Clippers, 109, Houston Rockets, 104
Washington Wizards, 129, Oklahoma City Thunder, 109
Denver Nuggets, 97, Golden State Warriors, 118
Memphis Grizzlies, 130, Portland Trail Blazers, 128
Toronto Raptors, 103, New York Knicks, 120
Philadelphia 76ers, 94, Milwaukee Bucks, 132
Detroit Pistons, 109, Indiana Pacers, 115
Chicago Bulls, 101, Miami Heat, 106
San Antonio Spurs, 110, New Orleans Pelicans, 108
Los Angeles Lakers, 93, Dallas Mavericks, 108
Minnesota Timberwolves, 101, Utah Jazz, 96
Houston Rockets, 116, Denver Nuggets, 129
Boston Celtics, 104, Charlotte Hornets, 125
Phoenix Suns, 119, Brooklyn Nets, 128
Memphis Grizzlies, 120, Portland Trail Blazers, 113
Cleveland Cavaliers, 110, Washington Wizards, 119
Milwaukee Bucks, 104, Atlanta Hawks, 111
Indiana Pacers, 131, Orlando Magic, 112
Sacramento Kings, 113, Golden State Warriors, 117
Atlanta Hawks, 86, Detroit Pistons, 100
Los Angeles Lakers, 114, Orlando Magic, 103
Oklahoma City Thunder, 90, Philadelphia 76ers, 121
San Antonio Spurs, 146, Washington Wizards, 143
Phoenix Suns, 118, New York Knicks, 110
Cleveland Cavaliers, 96, Toronto Raptors, 112
Chicago Bulls, 110, Miami Heat, 102
Utah Jazz, 104, Minnesota Timberwolves, 105
Los Angeles Clippers, 103, New Orleans Pelicans, 120
Memphis Grizzlies, 96, Denver Nuggets, 120
Dallas Mavericks, 106, Sacramento Kings, 113
